id,amount,status,created_at,updated_at,user_id,moderated_at,deleted_account_id,reimbursement_date,cash_request_received_date,money_back_date,transfer_type,send_at,recovery_status,reco_creation,reco_last_update
5,100.0,rejected,10/12/2019,11/12/2019,804.0,11/12/2019,,09/01/2020,,,regular,,,,
70,100.0,rejected,10/12/2019,11/12/2019,231.0,11/12/2019,,09/01/2020,,,regular,,,,
7,100.0,rejected,10/12/2019,11/12/2019,191.0,11/12/2019,,09/01/2020,,,regular,,,,
10,99.0,rejected,10/12/2019,18/12/2019,761.0,18/12/2019,,09/01/2020,,,regular,,,,
1594,100.0,rejected,06/05/2020,07/05/2020,7686.0,07/05/2020,,,,,regular,,,,
2145,100.0,money_back,23/05/2020,06/07/2020,9489.0,24/05/2020,,,26/05/2020,06/07/2020,regular,,completed,12/06/2020,06/07/2020
3512,100.0,rejected,16/06/2020,17/06/2020,14631.0,17/06/2020,,,,,regular,,,,
654,100.0,rejected,10/02/2020,10/02/2020,,10/02/2020,309.0,11/03/2020,,,regular,,,,
5672,100.0,canceled,28/06/2020,28/06/2020,,,2499.0,,,,regular,,,,
71,90.0,rejected,10/12/2019,12/12/2019,897.0,12/12/2019,,17/12/2019,,,regular,,,,
648,1.0,rejected,08/02/2020,09/02/2020,2908.0,09/02/2020,,09/03/2020,,,regular,,,,
1794,100.0,money_back,14/05/2020,03/06/2020,778.0,15/05/2020,,29/05/2020,17/05/2020,03/06/2020,regular,,completed,29/05/2020,03/06/2020
655,1.0,rejected,10/02/2020,10/02/2020,163.0,10/02/2020,,17/02/2020,,,regular,,,,
2122,100.0,money_back,22/05/2020,13/06/2020,8218.0,23/05/2020,,,27/05/2020,13/06/2020,regular,,,,
741,100.0,rejected,27/02/2020,27/02/2020,1547.0,27/02/2020,,05/03/2020,,,regular,,,,
83,100.0,rejected,11/12/2019,18/12/2019,1248.0,18/12/2019,,10/01/2020,,,regular,,,,
690,100.0,rejected,17/02/2020,17/02/2020,939.0,17/02/2020,,18/03/2020,,,regular,,,,
756,70.0,rejected,28/02/2020,28/02/2020,821.0,28/02/2020,,,,,regular,,,,
1073,100.0,rejected,08/04/2020,08/04/2020,2867.0,08/04/2020,,,,,regular,,,,
545,100.0,rejected,29/01/2020,08/02/2020,,29/01/2020,304.0,28/02/2020,,,regular,,,,
600,100.0,rejected,04/02/2020,04/02/2020,2872.0,04/02/2020,,05/04/2020,,,regular,,,,
613,100.0,rejected,05/02/2020,08/02/2020,,06/02/2020,304.0,08/03/2020,,,regular,,,,
96,100.0,rejected,11/12/2019,18/12/2019,781.0,18/12/2019,,18/12/2019,,,regular,,,,
97,100.0,rejected,11/12/2019,11/12/2019,945.0,11/12/2019,,10/01/2020,,,regular,,,,
642,1.0,rejected,08/02/2020,08/02/2020,2460.0,08/02/2020,,03/03/2020,,,regular,,,,
84,100.0,rejected,11/12/2019,10/01/2020,,10/01/2020,91.0,10/01/2020,,,regular,,,,
100,100.0,rejected,11/12/2019,12/12/2019,1286.0,12/12/2019,,10/01/2020,,,regular,,,,
106,100.0,rejected,11/12/2019,18/12/2019,528.0,18/12/2019,,18/12/2019,,,regular,,,,
108,100.0,rejected,12/12/2019,12/12/2019,792.0,12/12/2019,,11/01/2020,,,regular,,,,
113,100.0,rejected,12/12/2019,12/12/2019,682.0,12/12/2019,,11/01/2020,,,regular,,,,
1540,100.0,rejected,04/05/2020,04/05/2020,3377.0,04/05/2020,,,,,regular,,,,
1135,100.0,rejected,10/04/2020,13/04/2020,2274.0,13/04/2020,,,,,regular,,,,
118,100.0,rejected,12/12/2019,12/12/2019,47.0,12/12/2019,,19/12/2019,,,regular,,,,
1395,70.0,rejected,27/04/2020,27/04/2020,7379.0,27/04/2020,,,,,regular,,,,
956,99.0,rejected,19/03/2020,30/03/2020,,20/03/2020,575.0,18/04/2020,,,regular,,,,
708,100.0,rejected,20/02/2020,21/02/2020,2671.0,21/02/2020,,,,,regular,,,,
875,100.0,rejected,14/03/2020,14/03/2020,4549.0,14/03/2020,,,,,regular,,,,
827,100.0,rejected,09/03/2020,10/03/2020,,10/03/2020,475.0,08/04/2020,,,regular,,,,
1403,100.0,rejected,28/04/2020,28/04/2020,7217.0,28/04/2020,,08/05/2020,,,regular,,,,
1064,100.0,rejected,07/04/2020,08/04/2020,865.0,08/04/2020,,15/04/2020,,,regular,,,,
126,100.0,rejected,12/12/2019,27/12/2019,,20/12/2019,167.0,11/01/2020,,,regular,,,,
128,100.0,rejected,12/12/2019,10/01/2020,,10/01/2020,108.0,19/12/2019,,,regular,,,,
605,100.0,rejected,04/02/2020,04/02/2020,2179.0,04/02/2020,,01/03/2020,,,regular,,,,
1629,100.0,money_back,08/05/2020,10/06/2020,9068.0,08/05/2020,,,12/05/2020,10/06/2020,regular,,,,
1446,100.0,rejected,29/04/2020,30/04/2020,,30/04/2020,1068.0,29/05/2020,,,regular,,,,
633,1.0,rejected,07/02/2020,07/02/2020,,07/02/2020,302.0,08/03/2020,,,regular,,,,
134,100.0,rejected,13/12/2019,13/12/2019,1316.0,13/12/2019,,12/01/2020,,,regular,,,,
135,100.0,rejected,13/12/2019,13/12/2019,1003.0,13/12/2019,,12/01/2020,,,regular,,,,
23534,25.0,money_back,23/10/2020,18/12/2020,21465.0,,,,,06/11/2020,instant,23/10/2020,,,
