id,cash_request_id,type,status,category,total_amount,reason,created_at,updated_at,paid_at,from_date,to_date,charge_moment
6537,14941.0,instant_payment,rejected,,5.0,Instant Payment Cash Request 14941,07/09/2020,13/10/2020,17/12/2020,,,
6961,11714.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,09/09/2020,13/10/2020,08/12/2020,,,
16296,23371.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 23371,23/10/2020,23/10/2020,04/11/2020,,,
20775,26772.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26772,31/10/2020,31/10/2020,19/11/2020,,,
11242,19350.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 19350,06/10/2020,13/10/2020,02/11/2020,,,
17029,24052.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24052,24/10/2020,24/10/2020,09/11/2020,,,
19956,25983.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25983,30/10/2020,30/10/2020,21/12/2020,,,
14187,14839.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,16/10/2020,16/10/2020,05/11/2020,,,
20539,26572.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26572,31/10/2020,31/10/2020,28/11/2020,,,
15431,22106.0,postpone,cancelled,,5.0,Postpone Cash Request 22106,21/10/2020,21/10/2020,,04/11/2020,05/11/2020,
17962,24756.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24756,26/10/2020,26/10/2020,05/11/2020,,,
15434,21897.0,postpone,accepted,,5.0,Postpone Cash Request 21897,21/10/2020,21/10/2020,21/10/2020,26/10/2020,30/10/2020,
20199,25490.0,postpone,cancelled,,5.0,Postpone Cash Request 25490,30/10/2020,30/10/2020,,06/11/2020,12/11/2020,
20537,26568.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26568,31/10/2020,31/10/2020,13/11/2020,,,
19517,25902.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25902,29/10/2020,29/10/2020,25/11/2020,,,
14420,17963.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,17/10/2020,17/10/2020,17/10/2020,,,
20532,26565.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26565,31/10/2020,31/10/2020,15/11/2020,,,
13949,19876.0,postpone,accepted,,5.0,Postpone Cash Request 19876,16/10/2020,16/10/2020,16/10/2020,,03/11/2020,
14793,22136.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22136,19/10/2020,19/10/2020,03/11/2020,,,
19761,24564.0,postpone,cancelled,,5.0,Postpone Cash Request 24564,29/10/2020,29/10/2020,,29/10/2020,30/10/2020,
19061,25527.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25527,28/10/2020,28/10/2020,18/11/2020,,,
20530,19909.0,postpone,cancelled,,5.0,Postpone Cash Request 19909,31/10/2020,31/10/2020,,03/11/2020,05/11/2020,
15878,22357.0,postpone,accepted,,5.0,Postpone Cash Request 22357,22/10/2020,22/10/2020,22/10/2020,05/11/2020,05/12/2020,
14728,21504.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21504,19/10/2020,19/10/2020,06/11/2020,,,
19332,25768.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25768,28/10/2020,28/10/2020,03/12/2020,,,
13718,21302.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21302,15/10/2020,15/10/2020,10/11/2020,,,
20534,26567.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26567,31/10/2020,31/10/2020,27/11/2020,,,
14433,10287.0,incident,rejected,rejected_direct_debit,5.0,rejected direct debit,17/10/2020,17/10/2020,17/12/2020,,,
20531,20599.0,postpone,accepted,,5.0,Postpone Cash Request 20599,31/10/2020,31/10/2020,31/10/2020,05/11/2020,07/11/2020,
16690,22251.0,postpone,cancelled,,5.0,Postpone Cash Request 22251,23/10/2020,23/10/2020,,29/10/2020,05/11/2020,
20424,22829.0,postpone,accepted,,5.0,Postpone Cash Request 22829,30/10/2020,30/10/2020,30/10/2020,31/10/2020,07/11/2020,
20536,17458.0,postpone,accepted,,5.0,Postpone Cash Request 17458,31/10/2020,31/10/2020,31/10/2020,30/10/2020,10/11/2020,
20543,21351.0,postpone,accepted,,5.0,Postpone Cash Request 21351,31/10/2020,31/10/2020,31/10/2020,30/10/2020,01/11/2020,
13483,21138.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21138,14/10/2020,14/10/2020,02/11/2020,,,
3024,11186.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 11186,07/08/2020,13/10/2020,04/11/2020,,,
18552,25131.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25131,27/10/2020,27/10/2020,02/11/2020,,,
20939,21066.0,postpone,accepted,,5.0,Postpone Cash Request 21066,01/11/2020,01/11/2020,01/11/2020,04/11/2020,29/11/2020,
20937,26787.0,postpone,accepted,,5.0,Postpone Cash Request 26787,01/11/2020,01/11/2020,01/11/2020,,04/12/2020,
21157,24323.0,postpone,cancelled,,5.0,Postpone Cash Request 24323,01/11/2020,01/11/2020,,,29/11/2020,
13150,20878.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 20878,13/10/2020,13/10/2020,03/11/2020,,,
14188,15989.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,16/10/2020,16/10/2020,16/11/2020,,,
13719,17335.0,postpone,cancelled,,5.0,Postpone Cash Request 17335,15/10/2020,15/10/2020,,,14/11/2020,
19333,25769.0,instant_payment,rejected,,5.0,Instant Payment Cash Request 25769,28/10/2020,09/12/2020,07/12/2020,,,
21158,19981.0,incident,rejected,rejected_direct_debit,5.0,rejected direct debit,01/11/2020,01/11/2020,,,,
13583,12952.0,incident,accepted,month_delay_on_payment,5.0,month delay on payment - 10/2020,15/10/2020,15/10/2020,05/01/2021,,,
7039,15474.0,instant_payment,rejected,,5.0,Instant Payment Cash Request 15474,10/09/2020,13/10/2020,29/10/2020,,,
14794,20043.0,postpone,cancelled,,5.0,Postpone Cash Request 20043,19/10/2020,19/10/2020,,05/11/2020,05/12/2020,
1823,9338.0,postpone,accepted,,5.0,Postpone Cash Request 9338,23/07/2020,13/10/2020,23/07/2020,10/08/2020,,
17378,24326.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24326,25/10/2020,25/10/2020,09/12/2020,,,
20538,26569.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26569,31/10/2020,31/10/2020,15/11/2020,,,
15435,22702.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22702,21/10/2020,21/10/2020,05/11/2020,,,
14421,13940.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,17/10/2020,17/10/2020,26/10/2020,,,
20940,26868.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26868,01/11/2020,01/11/2020,16/11/2020,,,
12034,19950.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 19950,08/10/2020,13/10/2020,05/11/2020,,,
17963,18320.0,postpone,cancelled,,5.0,Postpone Cash Request 18320,26/10/2020,26/10/2020,,06/11/2020,05/12/2020,
20544,26575.0,instant_payment,rejected,,5.0,Instant Payment Cash Request 26575,31/10/2020,31/10/2020,09/01/2021,,,
12715,14399.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,11/10/2020,13/10/2020,30/10/2020,,,
14985,22313.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22313,20/10/2020,20/10/2020,30/10/2020,,,
15432,22699.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22699,21/10/2020,21/10/2020,30/11/2020,,,
20195,18158.0,postpone,cancelled,,5.0,Postpone Cash Request 18158,30/10/2020,30/10/2020,,30/10/2020,05/11/2020,
19518,25903.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25903,29/10/2020,29/10/2020,26/11/2020,,,
19062,25528.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25528,28/10/2020,28/10/2020,30/11/2020,,,
18553,25132.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25132,27/10/2020,27/10/2020,06/11/2020,,,
15250,22551.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22551,20/10/2020,20/10/2020,27/10/2020,,,
13151,20879.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 20879,13/10/2020,13/10/2020,01/12/2020,,,
20776,26771.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26771,31/10/2020,31/10/2020,05/12/2020,,,
15324,22608.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22608,20/10/2020,20/10/2020,31/10/2020,,,
20535,24867.0,postpone,cancelled,,5.0,Postpone Cash Request 24867,31/10/2020,31/10/2020,,,29/11/2020,
17030,24051.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24051,24/10/2020,24/10/2020,10/11/2020,,,
21174,21041.0,postpone,cancelled,,5.0,Postpone Cash Request 21041,01/11/2020,01/11/2020,,31/10/2020,02/11/2020,
15879,22977.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22977,22/10/2020,22/10/2020,02/11/2020,,,
13484,21139.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21139,14/10/2020,14/10/2020,12/11/2020,,,
10078,18564.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 18564,30/09/2020,13/10/2020,03/11/2020,,,
